name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available,brand
DIYPC Gamestorm,,ATX Mid Tower,ATX,White,,False,Acrylic,,5,False,DIYPC
Azza Taurus 5000W,,ATX Full Tower,ATX,White,,False,Acrylic,,8,False,Azza
RIOTORO CR280,,Mini ITX Desktop,Mini ITX,Black / Red,,False,Acrylic,,1,False,RIOTORO
Antec P9,,ATX Full Tower,ATX,Black,,False,Acrylic,97.3,8,False,Antec
Jonsbo UMX4 Zone,,ATX Mid Tower,ATX,Black,,False,Solid,38.0,2,False,Jonsbo
Jonsbo UMX4 Zone,,ATX Mid Tower,ATX,Black,,False,Tempered Glass,38.0,2,False,Jonsbo
Jonsbo UMX4 Zone,,ATX Mid Tower,ATX,Silver,,False,Tempered Glass,38.0,2,False,Jonsbo
Aerocool VS-1,,ATX Mid Tower,ATX,Black,,False,Acrylic,30.7,2,False,Aerocool
Silverstone RV05B,,ATX Mid Tower,ATX,White / Black,,False,Solid,63.8,2,False,SilverStone
Silverstone RV05B,,ATX Mid Tower,ATX,White / Black,,False,Acrylic,63.8,2,False,SilverStone
SHARKOON T3-W,,ATX Mid Tower,ATX,Black / Red,,False,Acrylic,38.3,6,False,SHARKOON
BitFenix Aurora,,ATX Mid Tower,ATX,White,,False,Tempered Glass,54.8,4,False,BitFenix
