name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
AMD Ryzen 5 3600X,3439.4,6,3.8,4.4,Zen 2,95,
Intel Core i9-9900K,7980.0,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD Ryzen 7 2700X,3419.8,8,3.7,4.3,Zen+,105,
Intel Core i3-14100F,1801.0,4,3.5,4.7,Raptor Lake Refresh,58,
Intel Core i9-12900KF,5313.6,16,3.2,5.2,Alder Lake,125,
AMD Ryzen 5 5600XT,2899.8,6,3.7,4.7,Zen 3,65,
Intel Core i5-13600K,5999.8,14,3.5,5.1,Raptor Lake,125,Intel UHD Graphics 770
Intel Core i7-7700K,3033.8,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630
AMD Ryzen 3 4100,1505.8,4,3.8,4.0,Zen 2,65,
Intel Core Ultra 5 245K,5199.8,14,4.2,5.2,Arrow Lake,125,Intel Xe
AMD Ryzen 3 3100,1928.6,4,3.6,3.9,Zen 2,65,
Intel Core i5-9400F,1860.0,6,2.9,4.1,Coffee Lake Refresh,65,
Intel Core i7-13700KF,5980.0,16,3.4,5.4,Raptor Lake,125,
Intel Core i7-10700K,6980.0,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-14400,3519.6,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730
AMD Ryzen 9 3900X,,12,3.8,4.6,Zen 2,105,
AMD Ryzen 7 7700,7861.6,8,3.6,5.3,Zen 4,65,Radeon
Intel Core i7-6700K,4579.2,4,4.0,4.2,Skylake,91,Intel HD Graphics 530
AMD Ryzen 7 7800X3D,8633.2,8,4.2,5.0,Zen 4,120,Radeon
AMD Ryzen 9 7900X3D,,12,4.4,5.6,Zen 4,120,Radeon
Intel Core i5-11400F,3840.0,6,2.6,4.4,Rocket Lake,65,
AMD Threadripper 3970X,34299.8,32,3.7,4.5,Zen 2,280,
AMD Ryzen 7 3800X,5396.0,8,3.9,4.5,Zen 2,105,
AMD Ryzen 5 2600X,2300.0,6,3.6,4.2,Zen+,95,
Intel Core i7-12700F,4940.0,12,2.1,4.9,Alder Lake,65,
Intel Core i5-9600K,3320.0,6,3.7,4.6,Coffee Lake Refresh,95,Intel UHD Graphics 630
Intel Core Ultra 5 225F,3816.6,10,3.3,4.9,Arrow Lake,65,
Intel Core i7-11700K,5879.8,8,3.6,5.0,Rocket Lake,125,Intel UHD Graphics 750
Intel Core i3-12100,2271.6,4,3.3,4.3,Alder Lake,60,Intel UHD Graphics 730
Intel Core i5-10400,2799.8,6,2.9,4.3,Comet Lake,65,Intel UHD Graphics 630
Intel Core i7-8700,3769.4,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i3-14100,2399.0,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730
Intel Core i3-13100F,1706.8,4,3.4,4.5,Raptor Lake,58,
Intel Pentium E5700,299.8,2,3.0,,Wolfdale,65,
Intel Core i9-10900K,10979.8,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-13400,3281.0,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730
Intel Core i7-7700,2050.0,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630
Intel Core i7-13700F,5100.0,16,2.1,5.2,Raptor Lake,65,
Intel Core i5-6500,1742.6,4,3.2,3.6,Skylake,65,Intel HD Graphics 530
AMD Ryzen 5 5500GT,2838.39,6,3.6,4.4,Zen 3,65,Radeon Vega 7
Intel Core i9-13900KF,8700.0,24,3.0,5.8,Raptor Lake,125,
AMD Ryzen 5 4600G,,6,3.7,4.2,Zen 2,65,Radeon Vega 7
AMD Ryzen 5 9600,9351.0,6,3.8,5.2,Zen 5,65,Radeon
Intel Core Ultra 5 235,5299.8,14,3.4,5.0,Arrow Lake,65,Intel Xe
Intel Core i7-4790K,,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600
Intel Core i5-8400,3577.8,6,2.8,4.0,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i7-6700,2460.0,4,3.4,4.0,Skylake,65,Intel HD Graphics 530
Intel Core Ultra 5 225,4260.2,10,3.3,4.9,Arrow Lake,65,Intel Xe
AMD Ryzen 5 3500X,,6,3.6,4.1,Zen 2,65,
Intel Core i7-14700,6131.0,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770
AMD Ryzen 5 1600 (14nm),2300.0,6,3.2,3.6,Zen,65,
Intel Core i9-11900K,8980.0,8,3.5,5.3,Rocket Lake,125,Intel UHD Graphics 750
Intel Core i7-10700F,6505.2,8,2.9,4.8,Comet Lake,65,
Intel Core i3-10100F,2000.0,4,3.6,4.3,Comet Lake,65,
Intel Core i7-11700F,4599.8,8,2.5,4.9,Rocket Lake,65,
Intel Core i5-13500,4699.8,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770
Intel Pentium E2220,259.8,2,2.4,,Core,65,
Intel Core i7-12700,5799.4,12,2.1,4.9,Alder Lake,65,Intel UHD Graphics 770
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,
Intel Core i5-10600K,3499.8,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-6600K,1799.8,4,3.5,3.9,Skylake,91,Intel HD Graphics 530
Intel Core Ultra 9 285,11599.8,24,2.5,5.6,Arrow Lake,65,Intel Xe
Intel Core i7-4770K,1980.0,4,3.5,3.9,Haswell,84,Intel HD Graphics 4600
Intel Core i7-3770,1973.8,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000
Intel Core i7-10700,7993.8,8,2.9,4.8,Comet Lake,65,Intel UHD Graphics 630
AMD Ryzen 9 3950X,9119.0,16,3.5,4.7,Zen 2,105,
Intel Core i3-6100,599.79,2,3.7,,Skylake,51,Intel HD Graphics 530
AMD Threadripper 3960X,25340.0,24,3.8,4.5,Zen 2,280,
AMD Ryzen 7 2700,3233.8,8,3.2,4.1,Zen+,65,
Intel Core i5-7500,1260.0,4,3.4,3.8,Kaby Lake,65,Intel HD Graphics 630
Intel Core i5-14500,4761.8,14,2.6,5.0,Raptor Lake Refresh,65,Intel UHD Graphics 770
Intel Core i7-9700,5973.6,8,3.0,4.7,Coffee Lake Refresh,65,Intel HD Graphics 630
Intel Core Ultra 7 265,7499.8,20,2.4,5.3,Arrow Lake,65,Intel Xe
Intel Core i5-11400,3199.8,6,2.6,4.4,Rocket Lake,65,Intel UHD Graphics 730
Intel Core i9-10850K,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630
Intel Core i5-7400,,4,3.0,3.5,Kaby Lake,65,Intel HD Graphics 630
Intel Core i9-13900KS,8580.0,24,3.0,6.0,Raptor Lake,150,Intel UHD Graphics 770
Intel Core Ultra 7 265F,5399.8,20,2.4,5.3,Arrow Lake,65,
Intel Core i3-8100,1215.59,4,3.6,,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i7-4790,2998.8,4,3.6,4.0,Haswell Refresh,84,Intel HD Graphics 4600
Intel Xeon E5-2699 V4,6654.4,22,2.2,3.6,Broadwell,145,
Intel Core i5-4690K,1080.0,4,3.5,3.9,Haswell Refresh,88,Intel HD Graphics 4600
Intel Xeon E5-2680 V4,39500.0,14,2.4,3.3,Broadwell,120,
Intel Core i9-12900KS,7599.8,16,3.4,5.5,Alder Lake,150,Intel UHD Graphics 770
AMD Ryzen 7 1700,3300.0,8,3.0,3.7,Zen,65,
Intel Core i5-8600K,6544.6,6,3.6,4.3,Coffee Lake,95,Intel UHD Graphics 630
Intel Core i3-10100,1999.8,4,3.6,4.3,Comet Lake,65,Intel UHD Graphics 630
Intel Pentium G640,380.0,2,2.8,,Sandy Bridge,65,Intel HD Graphics
Intel Core i9-9900KF,6580.0,8,3.6,5.0,Coffee Lake Refresh,95,
Intel Core i7-9700F,5180.0,8,3.0,4.7,Coffee Lake Refresh,65,
AMD EPYC 4564P,13999.8,16,4.5,5.7,Zen 4,170,Radeon
AMD Ryzen 3 2200G,,4,3.5,3.7,Zen,65,Radeon Vega 8
AMD Ryzen 5 2400G,2300.0,4,3.6,3.9,Zen,65,Radeon Vega 11
Intel Core i5-12500,3598.39,6,3.0,4.6,Alder Lake,65,Intel UHD Graphics 770
AMD Ryzen 5 5600X3D,,6,3.3,4.4,Zen 3,105,
Intel Core i3-9100F,1500.0,4,3.6,4.2,Coffee Lake Refresh,65,
Intel Core i5-8500,3400.0,6,3.0,4.1,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i5-11600K,,6,3.9,4.9,Rocket Lake,125,Intel UHD Graphics 750
Intel Core i5-7500T,1100.0,4,2.7,3.3,Kaby Lake,35,Intel HD Graphics 630
Intel Core i5-4590,,4,3.3,3.7,Haswell Refresh,84,Intel HD Graphics 4600
AMD Ryzen 5 1600 (12nm),1980.0,6,3.2,3.6,Zen+,65,
AMD Athlon 3000G (14nm),1975.8,2,3.5,,Zen,35,Radeon Vega 3
Intel Core i7-10700KF,4900.0,8,3.8,5.1,Comet Lake,125,
Intel Core i7-3770K,,4,3.5,,Ivy Bridge,77,Intel HD Graphics 4000
AMD Ryzen 9 3900XT,,12,3.8,4.7,Zen 2,105,
Intel Core i3-10105F,2870.6,4,3.7,4.4,Comet Lake,65,
Intel Core i5-7600,1116.0,4,3.5,4.1,Kaby Lake,65,Intel HD Graphics 630
Intel Core i7-9700KF,7900.4,8,3.6,4.9,Coffee Lake Refresh,95,
Intel Core i7-4770,3540.0,4,3.4,3.9,Haswell,84,Intel HD Graphics 4600
Intel Core i5-3470,1909.19,4,3.2,,Ivy Bridge,77,Intel HD Graphics 2500
AMD FX-8350,,8,4.0,,Piledriver,125,
AMD Ryzen 7 3700X,,8,3.6,4.4,Zen 2,65,
AMD Ryzen 5 1600X,1980.0,6,3.6,4.0,Zen,95,
AMD 2650,,2,1.45,,Jaguar,25,Radeon HD 8240
Intel Core i7-11700KF,7091.4,8,3.6,5.0,Rocket Lake,125,
Intel Core i3-4150,700.0,2,3.5,,Haswell Refresh,54,Intel HD Graphics 4400
Intel Core i7-11700,7559.8,8,2.5,4.9,Rocket Lake,65,Intel UHD Graphics 750
Intel Core Ultra 5 245KF,5699.8,14,4.2,5.2,Arrow Lake,125,
Intel Core i7-6950X,,10,3.0,3.5,Broadwell,140,
Intel Core i5-7600K,3657.8,4,3.8,4.2,Kaby Lake,91,Intel HD Graphics 630
AMD Ryzen 5 3500,,6,3.6,4.1,Zen 2,65,
Intel Core i3-13100,2505.0,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730
Intel Core i9-11900KF,7980.0,8,3.5,5.3,Rocket Lake,125,
AMD Ryzen 7 1700X,8577.6,8,3.4,3.8,Zen,95,
AMD Ryzen 7 3800XT,,8,3.9,4.7,Zen 2,105,
Intel Core i5-9400F,,6,2.9,4.1,Coffee Lake Refresh,65,
Intel Core i7-13700,6398.6,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770
AMD Ryzen 3 3300X,2219.79,4,3.8,4.3,Zen 2,65,
Intel Core i9-14900F,9980.0,24,2.0,5.8,Raptor Lake Refresh,65,
AMD Ryzen 7 1800X,2700.0,8,3.6,4.0,Zen,95,
AMD Ryzen 5 3600XT,12198.0,6,3.8,4.5,Zen 2,95,
Intel Core i5-4570,1960.0,4,3.2,,Haswell,84,Intel HD Graphics 4600
AMD Ryzen 5 7600X3D,,6,4.1,4.7,Zen 4,65,Radeon
Intel Core i5-11600KF,3397.8,6,3.9,4.9,Rocket Lake,125,
Intel Core i5-2400,999.8,4,3.1,,Sandy Bridge,95,Intel HD Graphics 2000
Intel Core i5-9600KF,3393.8,6,3.7,4.6,Coffee Lake Refresh,95,
Intel Core i5-9400,2998.8,6,2.9,4.1,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i3-10105,1980.0,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630
Intel Core i5-4460,1371.2,4,3.2,3.4,Haswell Refresh,84,Intel HD Graphics 4600
AMD Ryzen 3 1200 (14nm),1400.0,4,3.1,3.4,Zen,65,
AMD Ryzen 5 3600,,6,3.6,4.2,Zen 2,65,
Intel Core i5-10600KF,4738.39,6,4.1,4.8,Comet Lake,125,
AMD Ryzen 5 1400,1599.6,4,3.2,3.4,Zen,65,
Intel Core i5-6400,,4,2.7,3.3,Skylake,65,Intel HD Graphics 530
Intel Core i7-6800K,1459.6,6,3.4,3.6,Broadwell,140,
Intel Core i5-4570T,980.0,2,2.9,,Haswell,35,Intel HD Graphics 4600
AMD Ryzen 5 5600T,3203.8,6,3.5,4.5,Zen 3,65,
Intel Core i7-8700K,5100.8,6,3.7,4.7,Coffee Lake,95,Intel UHD Graphics 630
AMD Threadripper 2920X,3982.0,12,3.5,4.3,Zen+,180,
Intel Core i3-9100,2177.8,4,3.6,4.2,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i3-7100,739.8,2,3.9,,Kaby Lake,51,Intel HD Graphics 630
Intel Core i9-10900KF,,10,3.7,5.3,Comet Lake,125,
Intel Xeon E5-2687W V4,45640.2,12,3.0,3.5,Broadwell,160,
AMD FX-6300,,6,3.5,,Piledriver,95,
Intel Core i9-14900,11437.2,24,2.0,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770
Intel Core i9-9900KS,27780.0,8,4.0,5.0,Coffee Lake Refresh,127,Intel UHD Graphics 630
Intel Core i5-9500,3973.8,6,3.0,4.4,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i7-2600,3793.8,4,3.4,,Sandy Bridge,95,Intel HD Graphics 2000
AMD Ryzen 5 1500X,2999.8,4,3.5,3.7,Zen,65,
Intel Core i5-10500,4599.0,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630
Intel Core i9-10980XE,20080.8,18,3.0,4.8,Cascade Lake,165,
Intel Core i9-7900X,5299.8,10,3.3,4.5,Skylake,140,
Intel Core i5-3570K,2579.8,4,3.4,,Ivy Bridge,77,Intel HD Graphics 4000
AMD Ryzen 9 PRO 7945,,12,3.7,5.4,Zen 4,65,Radeon
Intel Core i7-4790K,2610.19,4,4.0,4.4,Haswell Refresh,88,Intel HD Graphics 4600
Intel Core i3-4130,820.0,2,3.4,,Haswell,54,Intel HD Graphics 4400
Intel Core i5-4690,1040.0,4,3.5,3.9,Haswell Refresh,84,Intel HD Graphics 4600
Intel Core i5-8400,3979.0,6,2.8,4.0,Coffee Lake,65,Intel UHD Graphics 630
AMD Threadripper 1950X,17000.0,16,3.4,4.0,Zen,180,
Intel Core i7-5820K,,6,3.3,3.6,Haswell,140,
Intel Core i5-6600,,4,3.3,3.9,Skylake,65,Intel HD Graphics 530
Intel Core i7-8700,,6,3.2,4.6,Coffee Lake,65,Intel UHD Graphics 630
Intel Celeron G6900,1874.19,2,3.4,,Alder Lake,46,Intel UHD Graphics 710
AMD EPYC 4244P,3786.6,6,3.8,5.1,Zen 4,65,Radeon
Intel Core i9-13900,8299.79,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770
Intel Pentium Gold G7400,1800.0,2,3.7,,Alder Lake,46,Intel UHD Graphics 710
Intel Core i9-9940X,39000.0,14,3.3,4.4,Skylake,165,
AMD Athlon 200GE,1399.6,2,3.2,,Zen,35,Radeon Vega 3
Intel Core i7-4790,,4,3.6,4.0,Haswell Refresh,84,Intel HD Graphics 4600
Intel Core i5-2500K,2000.0,4,3.3,,Sandy Bridge,95,Intel HD Graphics 3000
AMD Threadripper 1920X,3900.0,12,3.5,4.0,Zen,180,
Intel Core i5-8500T,2500.0,6,2.1,3.5,Coffee Lake,35,Intel UHD Graphics 630
Intel Core 2 Duo E8400,551.0,2,3.0,,Wolfdale,65,
Intel Xeon E3-1220 V6,500.0,4,3.0,3.5,Kaby Lake,72,
Intel Core i5-3570,,4,3.4,,Ivy Bridge,77,Intel HD Graphics 2500
Intel Pentium Gold G5420,580.0,2,3.8,,Coffee Lake,54,Intel UHD Graphics 610
Intel Pentium G4400,1000.0,2,3.3,,Skylake,54,Intel HD Graphics 510
Intel Core i5-12600,4999.8,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770
Intel Celeron 420,1399.0,1,1.6,,Core,35,
Intel Core i9-10900F,,10,2.8,5.2,Comet Lake,65,
AMD A6-6400K,,2,3.9,,Piledriver,65,Radeon HD 8470D
Intel Core i9-10900,7815.4,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630
Intel Celeron G5900,904.0,2,3.4,,Comet Lake,58,Intel UHD Graphics 610
Intel Core i9-10900X,9599.79,10,3.7,4.7,Cascade Lake,165,
Intel Core i5-4670K,2117.19,4,3.4,,Haswell,84,Intel HD Graphics 4600
Intel Core i5-6500,2998.8,4,3.2,3.6,Skylake,65,Intel HD Graphics 530
Intel Core i9-9900K,19096.19,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630
AMD Threadripper 2970WX,17977.59,24,3.0,4.2,Zen+,250,
Intel Core i9-9820X,,10,3.3,4.1,Skylake,165,
AMD Ryzen 9 3900X,,12,3.8,4.6,Zen 2,105,
Intel Core i5-13500T,,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770
Intel Core i9-13900F,10328.59,24,2.0,5.6,Raptor Lake,65,
Intel Xeon E5-1650 V4,2298.8,6,3.6,4.0,Broadwell,140,
Intel Core i5-11600,2800.0,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750
Intel Core i7-8086K,6862.4,6,4.0,5.0,Coffee Lake,95,Intel UHD Graphics 630
AMD EPYC 4464P,8599.79,12,3.7,5.4,Zen 4,65,Radeon
Intel Xeon E5-2690 V2,,10,3.0,3.6,Ivy Bridge,130,
Intel Core i7-2600K,5111.0,4,3.4,,Sandy Bridge,95,Intel HD Graphics 3000
Intel Core i7-9700K,,8,3.6,4.9,Coffee Lake Refresh,95,Intel UHD Graphics 630
Intel Core i5-11500,3200.0,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750
AMD Ryzen 5 2600,,6,3.4,3.9,Zen+,65,
Intel Core i7-7700K,,4,4.2,4.5,Kaby Lake,91,Intel HD Graphics 630
AMD FX-6350,,6,3.9,,Piledriver,125,
Intel Core i9-9900,8393.79,8,3.1,5.0,Coffee Lake Refresh,65,Intel UHD Graphics 630
AMD Ryzen 5 5600XT,,6,3.7,4.7,Zen 3,65,
Intel Core i9-11900F,6580.0,8,2.5,5.2,Rocket Lake,65,
Intel Core i7-6850K,1700.0,6,3.6,3.8,Broadwell,140,
AMD FX-9590,5851.6,8,4.7,5.0,Piledriver,220,
Intel Core i9-12900F,7197.79,16,2.4,5.1,Alder Lake,65,
Intel Celeron G5905,1035.8,2,3.5,,Comet Lake,58,Intel UHD Graphics 610
Intel Core i9-12900,7828.0,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770
Intel Core i5-14500T,,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770
Intel Core i7-4770S,1980.0,4,3.1,,Haswell,65,Intel HD Graphics 4600
Intel Core i7-4930K,1960.0,6,3.4,3.9,Ivy Bridge,130,
Intel Core i5-8600,3780.0,6,3.1,4.3,Coffee Lake,65,Intel UHD Graphics 630
Intel Core i5-4440,2000.0,4,3.1,3.3,Haswell,84,Intel HD Graphics 4600
Intel Core i7-6700K,,4,4.0,4.2,Skylake,91,Intel HD Graphics 530
AMD Athlon X2 340,,2,3.2,,Piledriver,65,
Intel Celeron G3930,570.0,2,2.9,,Kaby Lake,51,Intel HD Graphics 610
Intel Pentium G4560,1180.0,2,3.5,,Kaby Lake,54,Intel HD Graphics 610
AMD Ryzen 3 3200G,,4,3.6,4.0,Zen+,65,Radeon Vega 8
AMD FX-8320,,8,3.5,,Piledriver,125,
AMD Ryzen 5 3400G,,4,3.7,4.2,Zen+,65,Radeon Vega 11
Intel Core i3-530,900.0,2,2.93,,Westmere,73,Intel HD Graphics
Intel Core i3-12100T,,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730
Intel Xeon E5-2650 V4,,12,2.2,2.9,Broadwell,105,
AMD Ryzen 3 1300X,,4,3.5,3.7,Zen,65,
Intel Core i5-9600,4273.8,6,3.1,4.6,Coffee Lake Refresh,65,Intel UHD Graphics 630
Intel Core i7-7700,2800.0,4,3.6,4.2,Kaby Lake,65,Intel HD Graphics 630
Intel Core i3-3220,,2,3.3,,Ivy Bridge,55,Intel HD Graphics 2500
Intel Core i5-10600,10599.0,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630
Intel Pentium Gold G6600,3723.8,2,4.2,,Comet Lake,58,Intel UHD Graphics 630
Intel Xeon E5-2698 V4,,20,2.2,3.6,Broadwell,135,
AMD Athlon II X2 240,589.6,2,2.8,,K10,65,
Intel Core i9-10920X,15397.4,12,3.5,4.8,Cascade Lake,165,
Intel Core i7-2700K,3917.2,4,3.5,,Sandy Bridge,95,Intel HD Graphics 3000
Intel Core i3-7100T,580.0,2,3.4,,Kaby Lake,35,Intel HD Graphics 630
Intel Core i9-9900K (Standard Folding Box),11300.0,8,3.6,5.0,Coffee Lake Refresh,95,Intel UHD Graphics 630
Intel Core i7-7820X,24488.2,8,3.6,4.5,Skylake,140,
Intel Xeon E5-2630 V4,5101.2,10,2.2,3.1,Broadwell,85,
Intel Core i9-13900T,,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770
AMD FX-8300,2227.4,8,3.3,,Piledriver,95,
